judet,tip,localitate,n_locuinte,n_pad,coverage_rate,predicted_coverage_rate,current_premium_eur,opportunity_eur,addressable_market_eur,tsi_actual,tsi_predicted,pred_lower,pred_upper,accumulation_index
Constanta,1. MUNICIPIU,MEDGIDIA,15647,3602,0.2302,0.2770,72040.0000,14651.8330,312940.0000,72040000.0000,86691833.0333,0.2278,0.2905,3508408.5594
Timis,2. ORAS,RECAS,3710,688,0.1854,0.3812,13760.0000,14523.4112,74200.0000,13760000.0000,28283411.2200,0.1968,0.4198,8211949.7454
Dolj,1. MUNICIPIU,BAILESTI,6698,567,0.0847,0.1929,11340.0000,14507.1150,133960.0000,11340000.0000,25847114.9521,0.0918,0.1906,7126549.4167
Iasi,3. COMUNA,TOMESTI,5541,1208,0.2180,0.3372,24160.0000,13206.5036,110820.0000,24160000.0000,37366503.5765,0.2304,0.3681,5549225.6325
Ilfov,3. COMUNA,CERNICA,4078,685,0.1680,0.3291,13700.0000,13139.1203,81560.0000,13700000.0000,26839120.3419,0.1904,0.3757,465658.1362
Maramures,1. MUNICIPIU,SIGHETU MARMATIEI,17237,3338,0.1937,0.2303,66760.0000,12627.4666,344740.0000,66760000.0000,79387466.5719,0.1902,0.2683,0.0000
Brasov,2. ORAS,ZARNESTI,9106,1877,0.2061,0.2754,37540.0000,12618.9486,182120.0000,37540000.0000,50158948.5789,0.2093,0.2939,3944852.2068
Bacau,3. COMUNA,SASCUT,4276,408,0.0954,0.2363,8160.0000,12046.9816,85520.0000,8160000.0000,20206981.6296,0.0974,0.2346,8503287.7691
Ialomita,1. MUNICIPIU,FETESTI,12261,2152,0.1755,0.2241,43040.0000,11911.1801,245220.0000,43040000.0000,54951180.1412,0.1716,0.2359,5182167.9307
Calarasi,1. MUNICIPIU,CALARASI,28873,6657,0.2306,0.2507,133140.0000,11625.7112,577460.0000,133140000.0000,144765711.2220,0.2070,0.2790,57701320.4724
Gorj,1. MUNICIPIU,MOTRU,8530,1169,0.1370,0.2046,23380.0000,11518.5512,170600.0000,23380000.0000,34898551.1691,0.1386,0.1970,9618145.6940
Sibiu,1. MUNICIPIU,MEDIAS,23481,6783,0.2889,0.3127,135660.0000,11213.1085,469620.0000,135660000.0000,146873108.5181,0.2630,0.3135,0.0000
Hunedoara,2. ORAS,PETRILA,10282,1322,0.1286,0.1829,26440.0000,11175.8243,205640.0000,26440000.0000,37615824.2808,0.1333,0.1914,3100865.3866
Olt,2. ORAS,SCORNICESTI,5791,453,0.0782,0.1663,9060.0000,10197.0561,115820.0000,9060000.0000,19257056.0858,0.0838,0.1786,1751356.0915
Olt,2. ORAS,BALS,8343,1221,0.1464,0.2036,24420.0000,9559.8451,166860.0000,24420000.0000,33979845.1468,0.1505,0.2590,3090337.8232
Timis,2. ORAS,JIMBOLIA,4443,735,0.1654,0.2682,14700.0000,9131.4643,88860.0000,14700000.0000,23831464.2728,0.1732,0.3054,6919348.7817
Vrancea,3. COMUNA,VULTURU,3939,453,0.1150,0.2301,9060.0000,9068.7735,78780.0000,9060000.0000,18128773.4967,0.1157,0.2352,651.8438
Bihor,2. ORAS,SACUENI,4277,419,0.0980,0.2013,8380.0000,8841.5936,85540.0000,8380000.0000,17221593.6184,0.1024,0.2100,8110171.6290
Teleorman,1. MUNICIPIU,TURNU MAGURELE,11927,2159,0.1810,0.2180,43180.0000,8825.0946,238540.0000,43180000.0000,52005094.5645,0.1704,0.2302,21277611.2800
Constanta,2. ORAS,MURFATLAR,3820,593,0.1552,0.2674,11860.0000,8572.7649,76400.0000,11860000.0000,20432764.8516,0.1635,0.2959,826911.6546
Prahova,2. ORAS,PLOPENI,3473,641,0.1846,0.3068,12820.0000,8493.0858,69460.0000,12820000.0000,21313085.7582,0.1893,0.3324,15898849.0090
Satu Mare,2. ORAS,NEGRESTI-OAS,6815,974,0.1429,0.2049,19480.0000,8452.5878,136300.0000,19480000.0000,27932587.8283,0.1489,0.2228,0.0000
Botosani,1. MUNICIPIU,DOROHOI,11697,1816,0.1553,0.1910,36320.0000,8362.1839,233940.0000,36320000.0000,44682183.9140,0.1540,0.2151,9942248.0565
Vrancea,1. MUNICIPIU,ADJUD,7499,1432,0.1910,0.2453,28640.0000,8148.2274,149980.0000,28640000.0000,36788227.4455,0.1880,0.2605,1322.7689
Prahova,2. ORAS,BAICOI,7192,1735,0.2412,0.2967,34700.0000,7982.2904,143840.0000,34700000.0000,42682290.4411,0.2509,0.3511,31839560.8586
Hunedoara,1. MUNICIPIU,VULCAN,12031,1658,0.1378,0.1706,33160.0000,7884.6815,240620.0000,33160000.0000,41044681.4838,0.1354,0.1765,3383523.6779
Maramures,2. ORAS,BAIA SPRIE,6461,1438,0.2226,0.2831,28760.0000,7827.0567,129220.0000,28760000.0000,36587056.7353,0.2196,0.3230,0.0000
